"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1433856350291853312""",https://twitter.com/10news/status/1433856350291853312,"2021-09-03 18:16:08","""WATCH LIVE: Gubernatorial candidate Faulconer visits San Diego, touts homeless plan https://t.co/8vf8aL51DU""",Retweet,"Twitter Web App",8,21,"""9616062""","""10News""",10news,Verified,https://twitter.com/10news,"Not Protected"
"""1433606185362419737""",https://twitter.com/kevin_faulconer/status/1433606185362419737,"2021-09-03 01:42:04","""We’re better than letting people live and die on our sidewalks.

San Diego’s compassionate, firm approach reduced homelessness by double digits. As governor, I’ll take that proven approach statewide. https://t.co/Lv0wNR5oYS""",Tweet,"Twitter Web App",12,53,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1433559180024057856""",https://twitter.com/kevin_faulconer/status/1433559180024057856,"2021-09-02 22:35:17","""Thank you @ScottWilkCA for demanding transparency from Gavin Newsom and standing up for the millions of Californians impacted by this devastating fire season. 

https://t.co/dGOavhFAzr""",Tweet,"Twitter Web App",34,87,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1433521245862064139""",https://twitter.com/kevin_faulconer/status/1433521245862064139,"2021-09-02 20:04:33","""I’m here in SF today with @ShellenbergerMD to talk about the open air drug markets and tent encampments that have taken over our streets in California.

It’s time to take real action to get our homeless population off the streets and into shelter where they can be safely treated. https://t.co/PntD8ho3yI""",Tweet,"Twitter Web App",28,126,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1433494077580840960""",https://twitter.com/elex_michaelson/status/1433494077580840960,"2021-09-02 18:16:35","""&quot;It breaks my heart to see what's happening in this park.&quot;

We visit L.A.'s MacArthur Park with @Kevin_Faulconer. It is full of homeless people sleeping in tents. 

Faulconer says he'd ban encampments on CA's streets as Governor. https://t.co/45GhAWzP9N""",Retweet,"Twitter Web App",18,70,"""937422446323314688""","""Elex Michaelson""",elex_michaelson,Verified,https://twitter.com/elex_michaelson,"Not Protected"
"""1433250142270869504""",https://twitter.com/kevin_faulconer/status/1433250142270869504,"2021-09-02 02:07:17","""It was great having @KyungLahCNN on the bus for our California Comeback tour! #RecallGavinNewsom @CNN

WATCH 👇 https://t.co/fDekWsSXCo""",Tweet,"Twitter Web App",10,34,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1433200798461091852""",https://twitter.com/knxsimpson/status/1433200798461091852,"2021-09-01 22:51:12","""We had @Kevin_Faulconer on @KNX1070 In-Depth today.

We talked homelessness — he says tent encampments on sidewalks won’t be allowed — and COVID restrictions.

Also: worried Dems and recall question number two... https://t.co/92qbseLM3O""",Retweet,"Twitter Web App",11,18,"""256353739""","""Mike Simpson""",knxsimpson,Verified,https://twitter.com/knxsimpson,"Not Protected"
"""1433199082084831235""",https://twitter.com/kevin_faulconer/status/1433199082084831235,"2021-09-01 22:44:23","""Quick update from Los Angeles #RecallGavinNewsom https://t.co/WH2uFgwxwT""",Tweet,"Twitter for iPhone",19,96,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1433191870562140160""",https://twitter.com/carebelbase/status/1433191870562140160,"2021-09-01 22:15:44","""NEW: A new episode of the Rebel Base is here and we're joined by former San Diego Mayor and gubernatorial candidate @Kevin_Faulconer. 

He joins us to talk school mask mandates, homelessness, and much more. 

Watch: https://t.co/1pZExzDWGT""",Retweet,"Twitter Web App",13,26,"""1405584652459409410""","""California Rebel Base""",carebelbase,Non-Verified,https://twitter.com/carebelbase,"Not Protected"
"""1433182038727692289""",https://twitter.com/elex_michaelson/status/1433182038727692289,"2021-09-01 21:36:39",""".@Kevin_Faulconer is in L.A.’s MacArthur Park to talk about his plan to defeat homelessness. 

He says as Governor, he wouldn’t allow tent encampments like the ones in the park behind him. https://t.co/dwvOL1IdfP""",Retweet,"Twitter Web App",14,72,"""937422446323314688""","""Elex Michaelson""",elex_michaelson,Verified,https://twitter.com/elex_michaelson,"Not Protected"
